bytes,avg_millis
8,20.4000
18,13.4000
28,13.4000
38,15.0000
48,13.6000
58,13.4000
68,14.0000
78,15.4000
88,15.6000
98,16.8000
108,16.0000
118,15.8000
128,16.8000
138,15.6000
148,15.8000
158,16.0000
168,15.8000
178,15.8000
188,15.2000
198,16.6000
208,16.6000
218,16.2000
228,16.2000
238,18.4000
248,16.2000
258,17.4000
268,17.8000
278,19.0000
288,17.6000
298,18.4000
308,19.8000
318,19.2000
328,19.8000
338,20.0000
348,19.8000
358,20.0000
368,19.2000
378,19.4000
388,21.2000
398,21.6000
408,18.8000
418,20.6000
428,20.0000
438,20.0000
448,20.8000
458,19.8000
468,20.6000
478,19.8000
488,20.0000
498,20.0000
508,16.2000
518,16.4000
528,13.4000
538,13.6000
548,13.8000
558,15.8000
568,19.8000
578,18.8000
588,24.2000
598,21.6000
608,21.6000
618,19.6000
628,22.4000
638,19.8000
648,20.6000
658,19.8000
668,20.0000
678,19.6000
688,21.4000
698,20.8000
708,19.8000
718,20.0000
728,20.0000
738,20.8000
748,22.2000
758,20.2000
768,22.2000
778,76.2000
788,20.6000
798,20.0000
808,20.4000
818,19.2000
828,23.4000
838,20.2000
848,19.8000
858,20.2000
868,20.8000
878,21.6000
888,20.8000
898,20.0000
908,20.8000
918,21.2000
928,20.2000
938,22.2000
948,21.4000
958,20.0000
968,21.4000
978,20.0000
988,21.8000
998,20.4000
